"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test with steps","This will create a new product","SUCCESS","2023-06-06T17:54:35.224+01:00[Europe/London]","0.0","3.41"
"Product CRUD test with steps","Verify if the product was added to the application ","SUCCESS","2023-06-06T17:54:38.655+01:00[Europe/London]","0.0","0.08"
"Product CRUD test with steps","Update the product information and verify the updated information","SUCCESS","2023-06-06T17:54:38.735+01:00[Europe/London]","0.0","0.08"
"Product CRUD test with steps","Deleting product information and verify if the product is deleted","SUCCESS","2023-06-06T17:54:38.820+01:00[Europe/London]","0.0","0.03"
"Product tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-06-06T17:54:40.166+01:00[Europe/London]","0.0","0.04"
"Product tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-06-06T17:54:40.212+01:00[Europe/London]","0.0","2.05"
"Product tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-06-06T17:54:42.264+01:00[Europe/London]","0.0","0.02"
"Store tags test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-06-06T17:54:42.696+01:00[Europe/London]","0.0","0.02"
"Store tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-06-06T17:54:42.714+01:00[Europe/London]","0.0","0.16"
"Store tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-06-06T17:54:42.879+01:00[Europe/London]","0.0","0.04"
